# BROWSER FORENSIC EXPORT
# Source DB,C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\Network Action Predictor
# DB Description,Omnibox Predictions
# Table,network_action_predictor
# Table Description,network_action_predictor
# Total Rows in DB,246
# Export Timestamp,2026-04-02 09:56:07 UTC
# MD5 Hash of Source DB,ee814f1faae1df7d51f663aaad1eb2c2

id,user_text,url,number_of_hits,number_of_misses,url__DOMAIN,url__CATEGORY
a11711b2-ac0e-4714-93ee-4461daa9eb76,ch,https://chatgpt.com/,113,7,chatgpt.com,HTTPS
93517c89-3cb2-4576-8e15-eaf33b5cfff1,c,https://chatgpt.com/,117,43,chatgpt.com,HTTPS
4d0de2d4-074d-4d81-98f6-c0517adaf2ff,h,https://chatgpt.com/,2,44,chatgpt.com,HTTPS
d785a0d4-604d-4b2f-84db-9494dc8ddfe7,ho,https://chatgpt.com/,1,25,chatgpt.com,HTTPS
6630d435-6a87-4612-8790-5abe10092e76,cha,https://chatgpt.com/,29,1,chatgpt.com,HTTPS
e916f181-a421-4ae7-b64e-ed0a0569e021,de,https://www.deepseek.com/en,7,24,www.deepseek.com,HTTPS
c3971e9c-9ef6-4bd1-ac24-0138d042ba1a,d,https://www.deepseek.com/en,6,54,www.deepseek.com,HTTPS
4f79e1c6-2ae1-4b51-98fe-2d3ff0b7f61f,dee,https://chat.deepseek.com/,17,1,chat.deepseek.com,HTTPS
218bb43b-9c99-4483-b537-c8faef067afa,deep,https://chat.deepseek.com/,1,0,chat.deepseek.com,HTTPS
9c0f125e-47cf-4888-b2ab-88e7cdd82c68,d,https://chat.deepseek.com/,18,40,chat.deepseek.com,HTTPS
2347d3ba-124d-40fc-9b86-6b6093098686,de,https://chat.deepseek.com/,18,10,chat.deepseek.com,HTTPS
6bdd6865-98ed-4d3b-8b8a-03058eec32c3,chat,https://chatgpt.com/,4,0,chatgpt.com,HTTPS
fde4132e-ecc9-4590-b562-b05ebd9738fa,ia,https://iach.srmist.edu.in/Connect/PortalMain,7,1,iach.srmist.edu.in,HTTPS
76928cc5-0255-443d-a48d-a3835a9ca4df,i,https://iach.srmist.edu.in/Connect/PortalMain,6,13,iach.srmist.edu.in,HTTPS
56b2f915-7399-487b-9b24-9804aaa3d3cd,iac,https://iach.srmist.edu.in/Connect/PortalMain,2,0,iach.srmist.edu.in,HTTPS
